Task_name,gradient1,gradient2,gradient3,gradient4,gradient5,Id_number
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject087
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject087
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject087
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject087
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject088
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject088
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject088
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject088
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject088
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject088
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject088
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject088
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject088
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject088
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject088
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject088
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject088
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject088
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject088
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject088
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject088
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject088
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject088
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject088
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject088
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject088
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject088
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject088
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject088
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject088
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject088
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject088
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject088
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject088
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject088
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject088
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject088
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject088
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject088
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject088
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject088
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject088
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject089
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject089
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject089
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject089
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject089
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject089
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject089
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject089
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject089
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject089
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject089
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject089
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject089
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject089
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject089
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject089
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject089
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject089
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject089
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject089
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject089
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject089
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject089
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject089
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject089
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject089
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject089
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject089
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject089
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject089
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject089
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject089
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject089
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject089
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject089
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject089
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject089
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject089
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject090
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject090
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject090
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject090
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject090
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject090
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject090
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject090
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject090
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject090
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject090
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject090
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject090
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject090
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject090
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject090
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject090
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject090
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject090
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject090
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject090
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject090
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject090
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject090
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject090
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject090
HardMath,-0.1120585429630772,0.3047062365647703,0.3645772644009563,0.0166297750090818,-0.2343188620094058,subject090
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject090
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject090
Memory,-0.0848253154135041,-0.3111010261720365,-0.1999531699475979,0.2411639336259921,0.1259612008080794,subject090
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject090
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject090
Read,-0.1390077137601401,-0.1138183325094312,-0.2209729673108464,0.0926467315522668,0.0115586945225967,subject090
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject090
SciFi,-0.1110180568082599,-0.0163731102199373,-0.2915464004993333,0.0393374552989743,0.1145700284224864,subject090
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject090
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject090
You,-0.1133012580183836,-0.2902142186390489,-0.0985796694113494,0.1827774141649632,0.0850674099863809,subject090
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject091
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject091
0B,-0.0191968485146865,-0.2245593729315629,0.10748974320237,-0.0121027577819289,0.098065900655525,subject091
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject091
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject091
1B,-0.0669458092211422,0.0075635121290475,0.3629390033747605,-0.0315362594025028,-0.0104363804057094,subject091
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject091
2B-Face,0.0126470328705997,0.2102262860269249,0.3305870694544575,-0.0820721562000364,-0.1643082142262718,subject091
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject091
2B-Scene,-0.0212426303873247,0.2617486059241204,0.2900450371668737,-0.0561829917998489,-0.1914941571263383,subject091
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject091
Documentary,0.0132515115196386,-0.0232684905153721,-0.3588871282804898,-0.0229718394839797,0.2364960017303632,subject091
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject091
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject091
EasyMath,-0.0165695193192382,0.1399621476393272,0.0753328769708567,-0.0655079241287655,-0.0554988911803381,subject091
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject091
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject091
FingerTap,-0.0864633049583404,-0.2046641417632878,0.2219029792460385,0.0203064483628525,0.1580062955736149,subject091
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject091
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject091
Friend,-0.0318974148098896,-0.253011688124637,-0.0850103519848842,0.1458189629522596,0.0970200601437848,subject091
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject091
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject091
GoNoGo,-0.1325201290222482,0.2312690631296697,0.0618294065503523,-0.1418452309037309,-0.1244534481524268,subject091
